ticker,score,signal,action,price_score,volume_score,google_score,news_score,trends,news_articles,intraday_pct,vol_ratio,news_sentiment
ACMESOLAR.NS,38.92,Bearish,Avoid,50.0,26.14,0.0,50.0,0.0,0,0.0,1.307,0.0
APOLLOTYRE.NS,36.43,Bearish,Avoid,50.0,9.5,0.0,50.0,0.0,0,0.0,0.475,0.0
ADANIPOWER.NS,36.3,Bearish,Avoid,50.0,8.68,0.0,50.0,0.0,0,0.0,0.434,0.0
ALOKINDS.NS,35.76,Bearish,Avoid,50.0,5.04,0.0,50.0,0.0,0,0.0,0.252,0.0
ABSLAMC.NS,35.63,Bearish,Avoid,50.0,4.19,0.0,50.0,0.0,0,0.0,0.21,0.0
ANANTRAJ.NS,35.62,Bearish,Avoid,50.0,4.15,0.0,50.0,0.0,0,0.0,0.207,0.0
ACC.NS,35.58,Bearish,Avoid,50.0,3.9,0.0,50.0,0.0,0,0.0,0.195,0.0
ARE&M.NS,35.55,Bearish,Avoid,50.0,3.69,0.0,50.0,0.0,0,0.0,0.185,0.0
ASHOKLEY.NS,35.53,Bearish,Avoid,50.0,3.56,0.0,50.0,0.0,0,0.0,0.178,0.0
ANANDRATHI.NS,35.53,Bearish,Avoid,50.0,3.53,0.0,50.0,0.0,0,0.0,0.177,0.0
ADANIPORTS.NS,35.51,Bearish,Avoid,50.0,3.38,0.0,50.0,0.0,0,0.0,0.169,0.0
AADHARHFC.NS,35.5,Bearish,Avoid,50.0,3.34,0.0,50.0,0.0,0,0.0,0.167,0.0
ABBOTINDIA.NS,35.49,Bearish,Avoid,50.0,3.29,0.0,50.0,0.0,0,0.0,0.165,0.0
AUBANK.NS,35.48,Bearish,Avoid,50.0,3.21,0.0,50.0,0.0,0,0.0,0.161,0.0
ADANIGREEN.NS,35.44,Bearish,Avoid,50.0,2.9,0.0,50.0,0.0,0,0.0,0.145,0.0
AIAENG.NS,35.44,Bearish,Avoid,50.0,2.91,0.0,50.0,0.0,0,0.0,0.146,0.0
ABLBL.NS,35.43,Bearish,Avoid,50.0,2.87,0.0,50.0,0.0,0,0.0,0.143,0.0
